"","prediction.score.pancreatic.acinar.cell","prediction.score.type.B.pancreatic.cell","prediction.score.pancreatic.D.cell","prediction.score.pancreatic.stellate.cell","prediction.score.pancreatic.ductal.cell","prediction.score.pancreatic.A.cell","prediction.score.pancreatic.epsilon.cell","prediction.score.pancreatic.PP.cell","prediction.score.endothelial.cell","prediction.score.mast.cell","prediction.score.max"
"420",0.353412167387233,0,0,0,0.62584835746226,0.0207394751505072,0,0,0,0,0.62584835746226
"421",0.126447182569282,0,0,0.439523485220618,0.4340293322101,0,0,0,0,0,0.439523485220618
"422",0,0.0171216632022055,0,0,0.982878336797794,0,0,0,0,0,0.982878336797794
"423",0,0,0,0.00401218550216668,0.00444755488252189,0.0200904340184237,0,0,0.971449825596888,0,0.971449825596888
"424",0,0.0169306065999708,0,0,0,0.983069393400029,0,0,0,0,0.983069393400029
"425",0,0,0,0,1,0,0,0,0,0,1
"426",0,0,0,0,0,0.766558760208901,0.00737322834082888,0.22606801145027,0,0,0.766558760208901
"427",0,0.561852991726584,0,0,0,0.438147008273416,0,0,0,0,0.561852991726584
"428",0,0,0,0,1,0,0,0,0,0,1
"429",0,0.291954442471698,0,0,0,0.708045557528302,0,0,0,0,0.708045557528302
"430",0,0,0,0,0,0.975574701501756,0,0.0244252984982435,0,0,0.975574701501756
"431",0,0.426819045789507,0,0,0,0.407844563982495,0,0.165336390227997,0,0,0.426819045789507
"432",0,0.0396308204451728,0.491639941393541,0,0,0.0672813134539657,0.0415318657228192,0.14856337239675,0,0.211352686587752,0.491639941393541
"433",0,1,0,0,0,0,0,0,0,0,1
"434",0,0,0,0,1,0,0,0,0,0,1
"435",0,0,0,0,0.694798770240439,0.259616152523811,0.0122596443974973,0.0333254328382531,0,0,0.694798770240439
"436",0,0,0,0,0,1,0,0,0,0,1
"437",0,0.122653791994901,0,0,0,0.877346208005099,0,0,0,0,0.877346208005099
"438",0,0,0,0,0.977887403700136,0.0221125962998641,0,0,0,0,0.977887403700136
"439",0,0.953773027437872,0.00973991737441978,0,0.00637517905448058,0,0,0.0301118761332278,0,0,0.953773027437872
"440",0,0,0,0,1,0,0,0,0,0,1
"441",0.27158113705841,0,0,0,0.723176681302112,0.00524218163947823,0,0,0,0,0.723176681302112
"442",0,0,0,0,0,0.905511815906993,0,0.0944881840930066,0,0,0.905511815906993
"443",0,0,0,0,1,0,0,0,0,0,1
"444",0,0.152874225691683,0.660772091961431,0,0,0,0.186353682346886,0,0,0,0.660772091961431
"445",0,0,0,0,0,0.768501028718722,0,0.231498971281278,0,0,0.768501028718722
"446",0,0.00706557652699747,0.0785100144203787,0,0,0.777910650005476,0.136513759047147,0,0,0,0.777910650005476
"447",0,0,0,0,0,1,0,0,0,0,1
"448",0,0,0,0.0597171275761778,0.940282872423822,0,0,0,0,0,0.940282872423822
"449",0,0,0,0.906035611880438,0.093964388119562,0,0,0,0,0,0.906035611880438
"450",0,0.646027992064804,0,0,0,0.353972007935196,0,0,0,0,0.646027992064804
"451",0,0,0,0,0.090163540200569,0,0,0,0.909836459799431,0,0.909836459799431
"452",0,0,0,0.330939285884948,0,0.669060714115052,0,0,0,0,0.669060714115052
"453",0,0,0,0,1,0,0,0,0,0,1
"454",0.0922268275575651,0,0,0,0.814233407505403,0.0935397649370316,0,0,0,0,0.814233407505403
"455",0,0,0,0,0,0.584107240277526,0,0.415892759722474,0,0,0.584107240277526
"456",0,0.218611964365627,0.00204372398811718,0,0,0.779344311646256,0,0,0,0,0.779344311646256
"457",0,0.473967554407779,0,0,0.427433694679713,0.0985987509125084,0,0,0,0,0.473967554407779
"458",0,0,0,0,1,0,0,0,0,0,1
"459",0.474895352243468,0,0,0,0.42902558749511,0.0960790602614217,0,0,0,0,0.474895352243468
"460",0,0,0,0,0,0.813679441716599,0.00480651193146369,0.181514046351938,0,0,0.813679441716599
"461",0,0.576885249519888,0,0,0,0.423114750480112,0,0,0,0,0.576885249519888
"462",0,0,0,0.0211850499864581,0.0236720273718021,0,0,0,0.95514292264174,0,0.95514292264174
"463",0,0,0,0,1,0,0,0,0,0,1
"464",0,0,0,0,0.297163242502876,0.702836757497124,0,0,0,0,0.702836757497124
"465",0.543939389237349,0.0869404803722341,0,0,0,0.105726263196758,0,0.263393867193659,0,0,0.543939389237349
"466",0,0,0,0,1,0,0,0,0,0,1
"467",0,0,0,0,1,0,0,0,0,0,1
"468",0,0,0,0,0,0.766957003936567,0,0.233042996063433,0,0,0.766957003936567
"469",0,0,0,0,0.91932528518864,0.0490066089797788,0,0.0316681058315808,0,0,0.91932528518864
"470",0,0,0,0,1,0,0,0,0,0,1
"471",0,0,0,0,1,0,0,0,0,0,1
"472",0,0,0,0,0,0.432297284500085,0.00561310561540941,0.50966397474357,0.052425635140936,0,0.50966397474357
"473",0,0,0,0,1,0,0,0,0,0,1
"474",0.429972704441843,0,0,0,0.436654356632982,0.133372938925175,0,0,0,0,0.436654356632982
"475",0,0,0.0102158752738858,0,0.989784124726114,0,0,0,0,0,0.989784124726114
"476",0.0671965442356759,0,0,0,0.912232544208496,0.0205709115558278,0,0,0,0,0.912232544208496
"477",0,0,0,0,0.978323381482928,0.0216766185170725,0,0,0,0,0.978323381482928
"478",0.481391669577611,0,0,0,0.248137740853575,0.270470589568815,0,0,0,0,0.481391669577611
"479",0,0.358714397779965,0,0,0,0.641285602220035,0,0,0,0,0.641285602220035
"480",0.280160109240275,0,0,0,0.646182267012539,0.0736576237471862,0,0,0,0,0.646182267012539
"481",0,0,0,0,1,0,0,0,0,0,1
"482",0.29397750991686,0,0,0,0.632537070229277,0.0734854198538628,0,0,0,0,0.632537070229277
"483",0,0,0,0,0,1,0,0,0,0,1
"484",0,0,0,0,0.970667711961689,0.0293322880383112,0,0,0,0,0.970667711961689
"485",0.228014870894583,0,0,0,0.771985129105417,0,0,0,0,0,0.771985129105417
"486",0,0,0.00825593357060487,0.991744066429395,0,0,0,0,0,0,0.991744066429395
"487",0,0.8491953270573,0,0,0,0.1508046729427,0,0,0,0,0.8491953270573
"488",0,0.221751430476174,0.291077349489434,0.328460345262761,0,0.0211507469311391,0.137560127840491,0,0,0,0.328460345262761
"489",0,0.843933394495444,0,0,0,0.150158275889081,0.00590832961547509,0,0,0,0.843933394495444
"490",0,0.285406253559209,0.46920215012827,0,0,0.00526611680661903,0.240125479505902,0,0,0,0.46920215012827
"491",0.0165896494955752,0,0,0.930574460489108,0.0528358900153169,0,0,0,0,0,0.930574460489108
"492",0,0,0,0,0,1,0,0,0,0,1
"493",0,0,0,0,1,0,0,0,0,0,1
"494",0,0.973228461865765,0,0,0,0,0,0.0267715381342349,0,0,0.973228461865765
"495",0,0,0,0,1,0,0,0,0,0,1
