"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"592",0,0.0248474987297974,0,0.85957871713974,0.0237760343454425,0.019633557473576,0.055946869279804,0.0162173230316399,0,0,0.85957871713974
"593",0,0.0176046308352796,0.1328519110321,0.0411223934134496,0.798342312739529,0,0,0.0100787519796408,0,0,0.798342312739529
"594",0,0,0,0,0,1,0,0,0,0,1
"595",0,0.00601480032256632,0,0.0539975156102452,0.00601480032256632,0.920606027492956,0,0.0133668562516666,0,0,0.920606027492956
"596",0,0,0,0,0,0.0653085646772622,0.899812434941922,0.0348790003808164,0,0,0.899812434941922
"597",0.101850631389453,0.785030093904347,0.101435655136903,0.00812934915919556,0,0.00355427041010017,0,0,0,0,0.785030093904347
"598",0,0,0,0,0,0.991364358742236,0.00863564125776364,0,0,0,0.991364358742236
"599",0,0.00980449770590826,0.0256237622793793,0.0170281312533676,0.905817274501293,0.0144721228812598,0.0134711219125423,0.0137830894662496,0,0,0.905817274501293
"600",0,1,0,0,0,0,0,0,0,0,1
"601",0,0.100820183425736,0,0.205961767410399,0.00969022434132736,0.177292465806485,0.302075005199654,0.102156626222785,0,0.102003727593613,0.302075005199654
"602",0.00817784223815514,0.00347054009549508,0,0.972891287961103,0.00947126785677324,0.00540936162839103,0,0,0,0.000579700220081786,0.972891287961103
"603",0,0.893609226750426,0,0.106390773249574,0,0,0,0,0,0,0.893609226750426
"604",0,0.4288533852644,0,0.568609559799903,0,0.00253705493569721,0,0,0,0,0.568609559799903
"605",0,0.377132939315561,0,0.0581861153801638,0.0123232021739316,0.501337509036046,0,0,0,0.0510202340942969,0.501337509036046
"606",0.151738153667119,0.550440926765744,0,0.237756517761801,0,0,0,0,0.0600644018053365,0,0.550440926765744
"607",0,0.0014813372886135,0.042354865483879,0.500105187641521,0.452918868837994,0.00313974074799275,0,0,0,0,0.500105187641521
"608",0,0.995645840388392,0,0.00435415961160784,0,0,0,0,0,0,0.995645840388392
"609",0,0.0407382470584715,0,0.957211108539861,0,0.00205064440166769,0,0,0,0,0.957211108539861
