,Connecting Tubule,Distal Convoluted Tubule,Endothelial Cell,Intercalated Cells Type A,Intercalated Cells Type B,Leukocyte,Mesangial Cells,Principal Cells,Proximal Tubule,Thick Ascending Limb
83,0.0122632,0.11955504,2.7987959e-05,6.824757e-06,0.00016744304,1.530519e-06,2.0815737e-06,3.7394802e-06,0.10237376,0.7655984
84,0.39874074,2.686088e-06,0.34762058,2.3607608e-06,0.009249002,4.9797854e-06,0.0755139,3.152524e-06,0.0417933,0.12706925
85,1.0144359e-05,0.027906645,0.05073111,0.50141436,0.08338743,0.023666145,3.2159464e-06,1.09298635e-05,0.3128141,5.596289e-05
86,4.877241e-06,0.093710154,0.0070834137,0.089209564,0.0012053079,6.0150046e-07,9.542433e-07,2.017099e-06,0.20352407,0.605259
87,1.14661725e-05,1.5107571e-05,0.02615348,0.069430135,0.022824302,4.7528832e-07,0.13639873,0.012168733,0.3845901,0.34840745
88,7.585261e-06,5.3991757e-06,0.110657655,0.07769554,3.6932165e-06,0.111505285,0.13018818,0.06780052,0.19290018,0.30923596
89,0.2625542,3.929161e-06,1.6724462e-05,0.15632387,0.008969617,1.6061844e-06,0.08420207,0.20867217,0.27925295,2.863713e-06
90,7.1597665e-06,0.5261168,0.023677768,0.039000325,1.0500194e-06,0.008120526,0.0049755,3.2660978e-06,0.11043705,0.2876606
91,0.14123017,1.8682553e-06,0.0748866,0.18521626,0.019787585,0.011794009,1.3636127e-06,0.45288315,0.09022481,0.023974301
92,8.372481e-06,0.03567193,0.07015131,0.018752668,0.119392976,0.018128779,6.2424823e-07,0.5087982,0.21165977,0.017435417
93,0.2761979,0.0010530548,0.043988794,0.33485678,2.5581796e-05,4.897223e-07,9.227428e-07,0.050211795,0.18338707,0.110277586
94,2.723429e-06,0.7769886,0.023693953,4.618771e-06,1.9901565e-06,0.0052123363,0.06420026,1.1763033e-06,0.026262524,0.10363185
95,0.06309976,0.13833365,0.14128928,0.028852157,9.855956e-07,1.712148e-06,0.016340999,0.014545452,0.14875822,0.44877774
96,0.2617961,3.143807e-06,0.033544164,0.08500194,0.11860121,0.02309976,7.2441935e-06,0.031738516,0.1924633,0.25374466
97,6.202112e-06,0.051937323,0.29869258,0.15529078,0.016353471,0.01665049,0.031122647,0.3076577,0.12228693,1.798995e-06
98,0.25913075,0.24862422,0.10771971,0.066670835,0.003273307,0.07051818,0.0035055587,1.2855911e-05,0.2405408,3.7234677e-06
99,0.16168037,1.098911e-06,0.0017274662,0.030951396,0.05568796,0.011566041,1.3532318e-06,0.41246116,0.27800936,0.04791383
100,0.11486383,0.091814734,0.03525978,0.08074973,0.08229691,0.030250736,0.06928116,0.41022268,0.04965875,0.03560175
101,0.2685304,0.000121153156,9.776144e-07,0.062578715,4.026228e-06,3.6323524e-06,0.017796526,1.08197755e-05,0.09422904,0.5567247
102,0.10108075,0.024732983,0.10198553,0.04347514,0.012499175,0.019072698,0.2912078,0.056146555,0.34979856,8.966872e-07
103,0.12477792,0.11676044,0.047797237,9.043548e-07,0.0008994955,2.2471356e-06,0.08930627,0.34731838,0.23249416,0.040642947
104,2.4372355e-05,0.020953318,0.042126626,0.35976842,0.04870189,0.006080725,8.479971e-07,0.19921722,0.09555678,0.22756988
105,0.42660332,0.006793454,2.4770177e-06,3.4275115e-06,1.9077263e-05,0.092873506,0.018572228,1.0374419e-05,0.29711664,0.15800543
106,3.9503752e-06,0.105106674,0.009540534,0.5091713,1.2000049e-06,0.00937433,0.010750229,0.27706692,0.050676767,0.028308198
107,6.1111996e-06,0.066696055,0.42463997,0.06370119,1.9127574e-06,6.4975717e-07,0.11439625,2.277946e-06,0.107677676,0.22287793
108,0.29864493,3.7209677e-05,0.13328734,0.34708157,2.7719161e-06,0.054660045,0.060998388,4.8270444e-06,0.10527663,6.24422e-06
109,1.1114769e-06,0.14040302,5.560039e-07,0.0069488273,5.9525553e-07,0.017939527,5.2564513e-07,9.795032e-07,0.07036076,0.7643441
110,0.1304262,1.3714871e-06,0.05638809,0.32243574,7.228392e-07,7.6017506e-07,1.1315636e-05,0.3469865,1.1370947e-06,0.14374809
111,7.1762292e-06,1.4945594e-05,0.11274914,0.025502061,2.7330686e-06,5.848059e-07,6.4804944e-06,1.03734565e-05,0.50906867,0.35263777
