"","cell_ID","Endothelial Cell","Thick Ascending Limb","Distal Convoluted Tubule","Proximal Tubule","Connecting Tubule","Principal Cells","Intercalated Cells Type A","Intercalated Cells Type B","Mesangial Cells","Leukocyte"
"169","168",0.207150248371926,0,0,0.691683777853479,0,0,0,0,0,0.101165973774595
"170","169",0,0.471169643843129,0,0.116983021466585,0,0.411847334690286,0,0,0,0
"171","170",0,1,0,0,0,0,0,0,0,0
"172","171",0,0.186105340423726,0,0.338607188103424,0,0.345752276283614,0,0,0,0.129535195189236
"173","172",0,0.632403927624093,0,0.367596072375907,0,0,0,0,0,0
"174","173",0,0,0,0.58934939382853,0,0,0,0.410650606171469,0,0
"175","174",0,0.140523517228658,0,0.149930743497301,0,0.575314728935961,0,0.132838434548961,0,0.00139257578911961
"176","175",0,0,0,0.577614445509467,0,0.422385554490533,0,0,0,0
"177","176",0,0.387765469585686,0,0.612234530414314,0,0,0,0,0,0
"178","177",0,0,0,0.323305843965849,0,0.676694156034151,0,0,0,0
"179","178",0.340518865369135,0,0.460309606225169,0.199171528405696,0,0,0,0,0,0
"180","179",0.232794980474174,0,0,0.544987319537186,0,0.22221769998864,0,0,0,0
"181","180",0,0,0,0,0,1,0,0,0,0
"182","181",0,0.516856051614814,0,0.483143948385186,0,0,0,0,0,0
"183","182",0.186870309541679,0,0,0,0.342167235540406,0.470962454917915,0,0,0,0
"184","183",0.830004114759977,0,0,0,0,0,0,0,0.169995885240023,0
"185","184",0,0,0,0.21575018815263,0.159390868285077,0.624858943562293,0,0,0,0
"186","185",0.455757066792717,0.334393213770089,0,0,0,0.209849719437194,0,0,0,0
"187","186",0,0.16998365081288,0,0.594955108308212,0,0.235061240878909,0,0,0,0
"188","187",0,0,0,0.575363378630909,0,0.424636621369091,0,0,0,0
"189","188",0,0.973679953862862,0,0,0,0.0263200461371377,0,0,0,0
"190","189",0.325339435716929,0,0,0.510222699242906,0,0.164437865040165,0,0,0,0
"191","190",0,0,0,0.318533188457998,0,0.681466811542002,0,0,0,0
"192","191",0,0,0,0.81259091890758,0,0.18740908109242,0,0,0,0
"193","192",0,0.519522070138848,0,0,0,0.480477929861152,0,0,0,0
"194","193",0.455402898504611,0,0.179519151269292,0,0,0.23421804964586,0.130859900580237,0,0,0
"195","194",0,0,0,0.407924856897941,0,0.174914109870233,0,0,0,0.417161033231826
"196","195",0.132110427425994,0,0,0.185217769665575,0,0.314532313053093,0.136984948045761,0.231154541809577,0,0
"197","196",0,0,0,0.10770518237745,0,0.365201788618139,0.527093029004411,0,0,0
"198","197",0.114020227742997,0,0,0.263676138552716,0,0.403732822001418,0,0,0,0.218570811702869
